RD0001,00138c00,58,24_001
RD0106,0067ce00,19,AVENGERS_026
RD0107,00689800,26,AVENGERS_027
RD0108,0069ca00,34,AVENGERS_028
RD0109,006b6c00,7a,AVENGERS_029
RD0110,006f3e00,39,AVENGERS_030
RD0111,00710800,51,AVENGERS_031
RD0112,00739200,54,AVENGERS_032
RD0113,00763400,41,AVENGERS_033
RD0114,00783e00,46,AVENGERS_034
RD0115,007a7000,14,AVENGERS_035
RD0116,007b1200,14,AVENGERS_036
RD0117,007bb400,14,AVENGERS_037
RD0118,007c5600,14,AVENGERS_038
RD0119,007cf800,14,AVENGERS_039
RD0120,007d9a00,02,BALLY_LOGOTYPE_001
RD0121,007dac00,02,BALLY_LOGOTYPE_002
RD0122,007dbe00,14,BATMAN_001
RD0123,007e6000,08,BATMAN_002
RD0124,007ea200,20,BATMAN_003
RD0125,007fa400,2b,BATMAN_004
RD0126,0080fe00,5a,BIG_BANG_BAR_001
RD0127,0083d000,78,BIG_BANG_BAR_002
RD0128,00879200,20,BIG_BANG_BAR_003
RD0129,00889400,0e,BIG_BANG_BAR_004
RD0130,00890600,1a,BIG_BANG_BAR_005
RD0131,0089d800,0e,BIG_BANG_BAR_006
RD0132,008a4a00,03,BIG_BANG_BAR_007
RD0133,008a6400,34,BIG_BANG_BAR_008
RD0134,008c0600,14,BIG_BANG_BAR_009
RD0135,008ca800,17,BIG_BANG_BAR_010
RD0136,008d6200,15,BIG_BANG_BAR_011
RD0137,008e0c00,23,BIG_BANG_BAR_012
RD0138,008f2600,0d,BIG_BANG_BAR_013
RD0139,008f9000,19,BIG_BANG_BAR_014
RD0140,00905a00,13,BIG_BANG_BAR_015
RD0141,0090f400,03,BIG_BANG_BAR_016
RD0142,00910e00,09,BIG_BANG_BAR_017
RD0143,00915800,08,BIG_BANG_BAR_018
RD0144,00919a00,01,BIG_BANG_BAR_019
RD0145,0091a400,0c,BIG_BANG_BAR_020
RD0146,00920600,18,BIG_BANG_BAR_021
RD0147,0092c800,0e,BIG_BANG_BAR_022
RD0148,00933a00,15,BIG_BANG_BAR_023
RD0149,0093e400,19,BIG_BANG_BAR_024
RD0150,0094ae00,10,BIG_BANG_BAR_025
RD0151,00953000,24,BIG_BANG_BAR_026
RD0152,00965200,2e,BIG_BANG_BAR_027
RD0153,0097c400,2b,BIG_BANG_BAR_028
RD0154,00991e00,27,BIG_BANG_BAR_029
RD0155,009a5800,09,BIG_BANG_BAR_030
RD0156,009aa200,06,BIG_BANG_BAR_031
RD0157,009ad400,1a,BIG_BANG_BAR_032
RD0158,009ba600,2b,BIG_BANG_BAR_033
RD0159,009d0000,15,BIG_BANG_BAR_034
RD0160,009daa00,0a,BIG_BANG_BAR_035
RD0161,009dfc00,17,BIG_BANG_BAR_036
RD0162,009eb600,25,BIG_BANG_BAR_037
RD0163,009fe000,5a,BIG_BANG_BAR_038
RD0164,00a2b200,1f,BIG_BUCK_HUNTER_001
RD0165,00a3ac00,12,BIG_BUCK_HUNTER_002
RD0166,00a43e00,24,BIG_BUCK_HUNTER_003
RD0167,00a56000,5b,BIG_BUCK_HUNTER_004
RD0168,00a83a00,1f,BIG_BUCK_HUNTER_005
RD0169,00a93400,13,BIG_BUCK_HUNTER_006
RD0170,00a9ce00,05,BIG_BUCK_HUNTER_007
RD0171,00a9f800,57,BIG_BUCK_HUNTER_008
RD0172,00acb200,0e,BIG_BUCK_HUNTER_009
RD0173,00ad2400,0a,BIG_BUCK_HUNTER_010
RD0174,00ad7600,0a,BIG_BUCK_HUNTER_011
RD0175,00adc800,12,BLACK_ROSE_001
RD0176,00ae5a00,09,BLACK_ROSE_002
RD0177,00aea400,0a,BLACK_ROSE_003
RD0178,00aef600,09,BLACK_ROSE_004
RD0179,00af4000,13,BLACK_ROSE_005
RD0180,00afda00,08,BLACK_ROSE_006
RD0181,00b01c00,03,BLACK_ROSE_007
RD0182,00b03600,03,BLACK_ROSE_008
RD0183,00b05000,08,BLACK_ROSE_009
RD0184,00b09200,06,BLACK_ROSE_010
RD0185,00b0c400,03,BLACK_ROSE_011
RD0186,00b0de00,07,BLACK_ROSE_012
RD0187,00b11800,0c,BLACK_ROSE_013
RD0188,00b17a00,05,BLACK_ROSE_014
RD0189,00b1a400,0c,BLACK_ROSE_015
RD0190,00b20600,04,BLACK_ROSE_016
RD0191,00b22800,06,BLACK_ROSE_017
RD0192,00b25a00,02,BLACK_ROSE_018
RD0193,00b26c00,03,BLACK_ROSE_019
RD0194,00b28600,06,BLACK_ROSE_020
RD0195,00b2b800,02,BLACK_ROSE_021
RD0196,00b2ca00,01,BLACK_ROSE_022
RD0197,00b2d400,03,BLACK_ROSE_023
RD0198,00b2ee00,03,BLACK_ROSE_024
RD0199,00b30800,10,BLACK_ROSE_025
RD0200,00b38a00,04,BLACK_ROSE_026
RD0201,00b3ac00,14,BRAM_STOKERS_DRACULA_001
RD0202,00b44e00,16,BRAM_STOKERS_DRACULA_002
RD0203,00b50000,01,BRAM_STOKERS_DRACULA_003
RD0204,00b50a00,0c,BRAM_STOKERS_DRACULA_004
RD0205,00b56c00,07,BRAM_STOKERS_DRACULA_005
RD0206,00b5a600,0a,BRAM_STOKERS_DRACULA_006
RD0207,00b5f800,0e,BRAM_STOKERS_DRACULA_007
RD0208,00b66a00,0d,BRAM_STOKERS_DRACULA_008
RD0209,00b6d400,06,BRAM_STOKERS_DRACULA_009
RD0210,00b70600,09,BRAM_STOKERS_DRACULA_010
RD0211,00b75000,05,BRAM_STOKERS_DRACULA_011
RD0212,00b77a00,10,BRAM_STOKERS_DRACULA_012
RD0213,00b7fc00,01,BRAM_STOKERS_DRACULA_013
RD0214,00b80600,01,BRAM_STOKERS_DRACULA_014
RD0215,00b81000,12,BRAM_STOKERS_DRACULA_015
RD0216,00b8a200,03,BRAM_STOKERS_DRACULA_016
RD0217,00b8bc00,03,BRAM_STOKERS_DRACULA_017
RD0218,00b8d600,0e,BRAM_STOKERS_DRACULA_018
RD0219,00b94800,0d,BRAM_STOKERS_DRACULA_019
RD0220,00b9b200,0c,BRAM_STOKERS_DRACULA_020
RD0221,00ba1400,18,BRAM_STOKERS_DRACULA_021
RD0222,00bad600,07,BRAM_STOKERS_DRACULA_022
RD0223,00bb1000,15,BRAM_STOKERS_DRACULA_023
RD0224,00bbba00,0c,BRAM_STOKERS_DRACULA_024
RD0225,00bc1c00,06,BRAM_STOKERS_DRACULA_025
RD0226,00bc4e00,06,BRAM_STOKERS_DRACULA_026
RD0227,00bc8000,0b,BRAM_STOKERS_DRACULA_027
RD0228,00bcda00,10,BRAM_STOKERS_DRACULA_028
RD0229,00bd5c00,0f,BRAM_STOKERS_DRACULA_029
RD0230,00bdd600,1b,BRAM_STOKERS_DRACULA_030
RD0231,00beb000,0a,BRAM_STOKERS_DRACULA_031
RD0232,00bf0200,20,BRAM_STOKERS_DRACULA_032
RD0233,00c00400,11,BRAM_STOKERS_DRACULA_033
RD0234,00c08e00,16,BRAM_STOKERS_DRACULA_034
RD0235,00c14000,0e,BRAM_STOKERS_DRACULA_035
RD0236,00c1b200,02,BRAM_STOKERS_DRACULA_036
RD0237,00c1c400,02,CACTUS_CANYON_001
RD0238,00c1d600,36,CACTUS_CANYON_002
RD0239,00c38800,0a,CACTUS_CANYON_003
RD0240,00c3da00,01,CACTUS_CANYON_004
RD0241,00c3e400,0f,CACTUS_CANYON_005
RD0242,00c45e00,0b,CACTUS_CANYON_006
RD0243,00c4b800,01,CACTUS_CANYON_007
RD0244,00c4c200,10,CACTUS_CANYON_008
RD0245,00c54400,12,CACTUS_CANYON_009
RD0246,00c5d600,19,CACTUS_CANYON_010
RD0247,00c6a000,27,CACTUS_CANYON_011
RD0248,00c7da00,01,CACTUS_CANYON_012
RD0249,00c7e400,32,CACTUS_CANYON_013
RD0250,00c97600,04,CACTUS_CANYON_014
RD0251,00c99800,01,CACTUS_CANYON_015
RD0252,00c9a200,08,CACTUS_CANYON_016
RD0253,00c9e400,01,CACTUS_CANYON_017
RD0254,00c9ee00,24,CACTUS_CANYON_018
RD0255,00cb1000,2c,CACTUS_CANYON_019
RD0256,00cc7200,23,CACTUS_CANYON_020
RD0257,00cd8c00,1e,CACTUS_CANYON_021
RD0258,00ce7e00,18,CACTUS_CANYON_022
RD0259,00cf4000,11,CACTUS_CANYON_023
RD0260,00cfca00,12,CACTUS_CANYON_024
RD0261,00d05c00,2b,CACTUS_CANYON_025
RD0262,00d1b600,1b,CACTUS_CANYON_026
RD0263,00d29000,1b,CACTUS_CANYON_027
RD0264,00d36a00,01,CACTUS_CANYON_028
RD0265,00d37400,11,CACTUS_CANYON_029
RD0266,00d3fe00,11,CACTUS_CANYON_030
RD0267,00d48800,11,CACTUS_CANYON_031
RD0268,00d51200,01,CACTUS_CANYON_032
RD0269,00d51c00,0c,CACTUS_CANYON_033
RD0270,00d57e00,0a,CACTUS_CANYON_034
RD0271,00d5d000,11,CACTUS_CANYON_035
RD0272,00d65a00,01,CACTUS_CANYON_036
RD0273,00d66400,08,CACTUS_CANYON_037
RD0274,00d6a600,01,CACTUS_CANYON_038
RD0275,00d6b000,19,CACTUS_CANYON_039
RD0276,00d77a00,14,CACTUS_CANYON_040
RD0277,00d81c00,13,CACTUS_CANYON_041
RD0278,00d8b600,01,CACTUS_CANYON_042
RD0279,00d8c000,18,CACTUS_CANYON_043
RD0280,00d98200,1c,CACTUS_CANYON_044
RD0281,00da6400,23,CACTUS_CANYON_045
RD0282,00db7e00,02,CIRQUS_VOLTAIRE_001
RD0283,00db9000,05,CIRQUS_VOLTAIRE_002
RD0284,00dbba00,2d,CIRQUS_VOLTAIRE_003
RD0285,00dd2400,24,CIRQUS_VOLTAIRE_004
RD0286,00de4600,0c,CIRQUS_VOLTAIRE_005
RD0287,00dea800,03,CIRQUS_VOLTAIRE_006
RD0288,00dec200,03,CIRQUS_VOLTAIRE_007
RD0289,00dedc00,17,CIRQUS_VOLTAIRE_008
RD0290,00df9600,0a,CIRQUS_VOLTAIRE_009
RD0291,00dfe800,1e,CIRQUS_VOLTAIRE_010
RD0292,00e0da00,10,CIRQUS_VOLTAIRE_011
RD0293,00e15c00,0b,CIRQUS_VOLTAIRE_012
RD0294,00e1b600,1e,CIRQUS_VOLTAIRE_013
RD0295,00e2a800,1c,CIRQUS_VOLTAIRE_014
RD0296,00e38a00,1e,CIRQUS_VOLTAIRE_015
RD0297,00e47c00,1e,CIRQUS_VOLTAIRE_016
RD0298,00e56e00,0a,CIRQUS_VOLTAIRE_017
RD0299,00e5c000,12,CIRQUS_VOLTAIRE_018
RD0300,00e65200,06,CIRQUS_VOLTAIRE_019
RD0301,00e68400,20,CIRQUS_VOLTAIRE_020
RD0302,00e78600,08,CIRQUS_VOLTAIRE_021
RD0303,00e7c800,0a,CIRQUS_VOLTAIRE_022
RD0304,00e81a00,07,CIRQUS_VOLTAIRE_023
RD0305,00e85400,09,CIRQUS_VOLTAIRE_024
RD0306,00e89e00,0e,CIRQUS_VOLTAIRE_025
RD0307,00e91000,31,CIRQUS_VOLTAIRE_026
RD0308,00ea9a00,06,CIRQUS_VOLTAIRE_027
RD0309,00eacc00,21,CIRQUS_VOLTAIRE_028
RD0310,00ebd600,07,CIRQUS_VOLTAIRE_029
RD0311,00ec1000,30,CIRQUS_VOLTAIRE_030
RD0312,00ed9200,04,CIRQUS_VOLTAIRE_031
RD0313,00edb400,05,CIRQUS_VOLTAIRE_032
RD0314,00edde00,59,CIRQUS_VOLTAIRE_033
RD0315,00f0a800,01,CIRQUS_VOLTAIRE_034
RD0316,00f0b200,09,CIRQUS_VOLTAIRE_035
RD0317,00f0fc00,09,CIRQUS_VOLTAIRE_036
RD0318,00f14600,28,CIRQUS_VOLTAIRE_037
RD0319,00f28800,05,CIRQUS_VOLTAIRE_038
RD0320,00f2b200,0b,CIRQUS_VOLTAIRE_039
RD0321,00f30c00,0a,CIRQUS_VOLTAIRE_040
RD0322,00f35e00,0a,CIRQUS_VOLTAIRE_041
RD0323,00f3b000,08,CIRQUS_VOLTAIRE_042
RD0324,00f3f200,0f,CIRQUS_VOLTAIRE_043
RD0325,00f46c00,0f,CIRQUS_VOLTAIRE_044
RD0326,00f4e600,07,CIRQUS_VOLTAIRE_045
RD0327,00f52000,0a,CIRQUS_VOLTAIRE_046
RD0328,00f57200,17,CIRQUS_VOLTAIRE_047
RD0329,00f62c00,04,CIRQUS_VOLTAIRE_048
RD0330,00f64e00,11,CIRQUS_VOLTAIRE_049
RD0331,00f6d800,04,CIRQUS_VOLTAIRE_050
RD0332,00f6fa00,06,CIRQUS_VOLTAIRE_051
RD0333,00f72c00,05,CIRQUS_VOLTAIRE_052
RD0334,00f75600,15,CIRQUS_VOLTAIRE_053
RD0335,00f80000,0b,CIRQUS_VOLTAIRE_054
RD0336,00f85a00,0d,CIRQUS_VOLTAIRE_055
RD0337,00f8c400,10,CIRQUS_VOLTAIRE_056
RD0338,00f94600,0c,CIRQUS_VOLTAIRE_057
RD0339,00f9a800,06,CIRQUS_VOLTAIRE_058
RD0340,00f9da00,01,CONGO_001
RD0341,00f9e400,11,CONGO_002
RD0342,00fa6e00,0a,CONGO_003
RD0343,00fac000,01,CONGO_004
RD0344,00faca00,01,CONGO_005
RD0345,00fad400,2f,CONGO_006
RD0346,00fc4e00,0b,CONGO_007
RD0347,00fca800,08,CONGO_008
RD0348,00fcea00,07,CONGO_009
RD0349,00fd2400,13,CONGO_010
RD0350,00fdbe00,0a,CONGO_011
RD0351,00fe1000,0a,CONGO_012
RD0352,00fe6200,13,CONGO_013
RD0353,00fefc00,15,CONGO_014
RD0354,00ffa600,41,CONGO_015
RD0355,0101b000,03,CONGO_016
RD0356,0101ca00,01,CONGO_017
RD0357,0101d400,01,CONGO_018
RD0358,0101de00,1a,CONGO_019
RD0359,0102b000,0c,CONGO_020
RD0360,01031200,0d,CONGO_021
RD0361,01037c00,09,CONGO_022
RD0362,0103c600,11,CONGO_023
RD0363,01045000,13,CONGO_024
RD0364,0104ea00,1c,CONGO_025
RD0365,0105cc00,06,CONGO_026
RD0366,0105fe00,02,CONGO_027
RD0367,01061000,09,CONGO_028
RD0368,01065a00,20,CONGO_029
RD0369,01075c00,01,CONGO_030
RD0370,01076600,01,CONGO_031
RD0371,01077000,0e,CONGO_032
RD0372,0107e200,0e,CONGO_033
RD0373,01085400,13,CONGO_034
RD0374,0108ee00,14,CONGO_035
RD0375,01099000,21,CONGO_036
RD0376,010a9a00,11,CONGO_037
RD0377,010b2400,02,CONGO_038
RD0378,010b3600,0e,CONGO_039
RD0379,010ba800,12,CONGO_040
RD0380,010c3a00,11,CORVETTE_001
RD0381,010cc400,1c,CORVETTE_002
RD0382,010da600,0f,CORVETTE_003
RD0383,010e2000,0a,CORVETTE_004
RD0384,010e7200,03,CORVETTE_005
RD0385,010e8c00,01,CORVETTE_006
RD0386,010e9600,01,CORVETTE_007
RD0387,010ea000,06,CORVETTE_008
RD0388,010ed200,15,CORVETTE_009
RD0389,010f7c00,02,CREATURE_FROM_THE_BLACK_L_001
RD0390,010f8e00,0f,CREATURE_FROM_THE_BLACK_L_002
RD0391,01100800,0a,CREATURE_FROM_THE_BLACK_L_003
RD0392,01105a00,02,CREATURE_FROM_THE_BLACK_L_004
RD0393,01106c00,05,CREATURE_FROM_THE_BLACK_L_005
RD0394,01109600,03,CREATURE_FROM_THE_BLACK_L_006
RD0395,0110b000,14,CREATURE_FROM_THE_BLACK_L_007
RD0396,01115200,03,CREATURE_FROM_THE_BLACK_L_008
RD0397,01116c00,09,CREATURE_FROM_THE_BLACK_L_009
RD0398,0111b600,08,CREATURE_FROM_THE_BLACK_L_010
RD0399,0111f800,03,CREATURE_FROM_THE_BLACK_L_011
RD0400,01121200,10,CREATURE_FROM_THE_BLACK_L_012
RD0401,01129400,20,CREATURE_FROM_THE_BLACK_L_013
RD0402,01139600,2c,CREATURE_FROM_THE_BLACK_L_014
RD0403,0114f800,09,CREATURE_FROM_THE_BLACK_L_015
RD0404,01154200,1f,CREATURE_FROM_THE_BLACK_L_016
RD0405,01163c00,06,CREATURE_FROM_THE_BLACK_L_017
RD0406,01166e00,14,CSI_001
RD0407,01171000,0a,CSI_002
RD0408,01176200,24,CSI_003
RD0409,01188400,0f,CSI_004
RD0410,0118fe00,08,CSI_005
RD0411,01194000,0b,DEMOLITION_MAN_001
RD0412,01199a00,08,DEMOLITION_MAN_002
RD0413,0119dc00,07,DEMOLITION_MAN_003
RD0414,011a1600,03,DEMOLITION_MAN_004
RD0415,011a3000,03,DEMOLITION_MAN_005
RD0416,011a4a00,10,DEMOLITION_MAN_006
RD0417,011acc00,1c,DEMOLITION_MAN_007
RD0418,011bae00,0d,DEMOLITION_MAN_008
RD0419,011c1800,07,DEMOLITION_MAN_009
RD0420,011c5200,01,DEMOLITION_MAN_010
RD0421,011c5c00,02,DIRTY_HARRY_001
RD0422,011c6e00,07,DIRTY_HARRY_002
RD0423,011ca800,06,DIRTY_HARRY_003
RD0424,011cda00,08,DIRTY_HARRY_004
RD0425,011d1c00,21,DIRTY_HARRY_005
RD0426,011e2600,21,DIRTY_HARRY_006
RD0427,011f3000,06,DIRTY_HARRY_007
RD0428,011f6200,2f,DIRTY_HARRY_008
RD0429,0120dc00,20,DIRTY_HARRY_009
RD0430,0121de00,0d,DIRTY_HARRY_010
RD0431,01224800,01,DIRTY_HARRY_011
RD0432,01225200,0a,DIRTY_HARRY_012
RD0433,0122a400,10,DIRTY_HARRY_013
RD0434,01232600,08,DIRTY_HARRY_014
RD0435,01236800,11,DIRTY_HARRY_015
RD0436,0123f200,1a,DIRTY_HARRY_016
RD0437,0124c400,0d,DIRTY_HARRY_017
RD0438,01252e00,0f,DIRTY_HARRY_018
RD0439,0125a800,0b,DIRTY_HARRY_019
RD0440,01260200,1d,DIRTY_HARRY_020
RD0441,0126ec00,04,DIRTY_HARRY_021
RD0442,01270e00,09,DIRTY_HARRY_022
RD0443,01275800,13,DIRTY_HARRY_023
RD0444,0127f200,0c,DIRTY_HARRY_024
RD0445,01285400,04,DIRTY_HARRY_025
RD0446,01287600,08,DIRTY_HARRY_026
RD0447,0128b800,07,DIRTY_HARRY_027
RD0448,0128f200,0a,DIRTY_HARRY_028
RD0449,01294400,17,DIRTY_HARRY_029
RD0450,0129fe00,07,DIRTY_HARRY_030
RD0451,012a3800,02,DIRTY_HARRY_031
RD0452,012a4a00,13,DIRTY_HARRY_032
RD0453,012ae400,06,DIRTY_HARRY_033
RD0454,012b1600,04,DIRTY_HARRY_034
RD0455,012b3800,16,DIRTY_HARRY_035
RD0456,012bea00,0a,DIRTY_HARRY_036
RD0457,012c3c00,12,DIRTY_HARRY_037
RD0458,012cce00,17,DIRTY_HARRY_038
RD0459,012d8800,07,DIRTY_HARRY_039
RD0460,012dc200,1c,DIRTY_HARRY_040
RD0461,012ea400,01,DIRTY_HARRY_041
RD0462,012eae00,01,DIRTY_HARRY_042
RD0463,012eb800,01,DIRTY_HARRY_043
RD0464,012ec200,01,DIRTY_HARRY_044
RD0465,012ecc00,01,DIRTY_HARRY_045
RD0466,012ed600,08,DIRTY_HARRY_046
RD0467,012f1800,06,DIRTY_HARRY_047
RD0468,012f4a00,08,DIRTY_HARRY_048
RD0469,012f8c00,0a,DIRTY_HARRY_049
RD0470,012fde00,14,DIRTY_HARRY_050
RD0471,01308000,11,DIRTY_HARRY_051
RD0472,01310a00,10,DIRTY_HARRY_052
RD0473,01318c00,05,DOCTOR_WHO_001
RD0474,0131b600,14,DOCTOR_WHO_002
RD0475,01325800,04,DOCTOR_WHO_003
RD0476,01327a00,10,DOCTOR_WHO_004
RD0477,0132fc00,0e,DOCTOR_WHO_005
RD0478,01336e00,08,DOCTOR_WHO_006
RD0479,0133b000,07,DOCTOR_WHO_007
RD0480,0133ea00,02,DOCTOR_WHO_008
RD0481,0133fc00,0e,DOCTOR_WHO_009
RD0482,01346e00,11,DOCTOR_WHO_010
RD0483,0134f800,06,DOCTOR_WHO_011
RD0484,01352a00,0e,FAMILY_GUY_001
RD0485,01359c00,0a,FAMILY_GUY_002
RD0486,0135ee00,3d,FAMILY_GUY_003
RD0487,0137d800,22,FAMILY_GUY_004
RD0488,0138ea00,0f,FAMILY_GUY_005
RD0489,01396400,0c,FAMILY_GUY_006
RD0490,0139c600,10,FAMILY_GUY_007
RD0491,013a4800,28,FAMILY_GUY_008
RD0492,013b8a00,1c,FAMILY_GUY_009
RD0493,013c6c00,06,FAMILY_GUY_010
RD0494,013c9e00,02,FISH_TALES_001
RD0495,013cb000,0d,FISH_TALES_002
RD0496,013d1a00,03,FISH_TALES_003
RD0497,013d3400,0b,FISH_TALES_004
RD0498,013d8e00,05,FISH_TALES_005
RD0499,013db800,06,FISH_TALES_006
RD0500,013dea00,26,FISH_TALES_007
RD0501,013f1c00,0c,FISH_TALES_008
RD0502,013f7e00,0d,FISH_TALES_009
RD0503,013fe800,0c,FISH_TALES_010
RD0504,01404a00,06,FISH_TALES_011
RD0505,01407c00,01,FISH_TALES_012
RD0506,01408600,03,FISH_TALES_013
RD0507,0140a000,03,FISH_TALES_014
RD0508,0140ba00,03,FISH_TALES_015
RD0509,0140d400,04,FISH_TALES_016
RD0510,0140f600,07,FISH_TALES_017
RD0511,01413000,08,FISH_TALES_018
RD0512,01417200,0d,FISH_TALES_019
RD0513,0141dc00,04,FISH_TALES_020
RD0514,0141fe00,12,FISH_TALES_021
RD0515,01429000,13,FISH_TALES_022
RD0516,01432a00,14,FISH_TALES_023
RD0517,0143cc00,11,FISH_TALES_024
RD0518,01445600,08,FISH_TALES_025
RD0519,01449800,04,FISH_TALES_026
RD0520,0144ba00,08,FISH_TALES_027
RD0521,0144fc00,05,FISH_TALES_028
RD0522,01452600,02,FISH_TALES_029
RD0523,01453800,06,FISH_TALES_030
RD0524,01456a00,1b,FISH_TALES_031
RD0525,01464400,07,FISH_TALES_032
RD0526,01467e00,0d,FISH_TALES_033
RD0527,0146e800,0a,FISH_TALES_034
RD0528,01473a00,11,FISH_TALES_035
RD0529,0147c400,0a,FISH_TALES_036
RD0530,01481600,03,FISH_TALES_037
RD0531,01483000,0c,FISH_TALES_038
RD0532,01489200,02,FISH_TALES_039
RD0533,0148a400,03,FISH_TALES_040
RD0534,0148be00,10,FISH_TALES_041
RD0535,01494000,0d,FLINTSTONES_001
RD0536,0149aa00,10,FLINTSTONES_002
RD0537,014a2c00,10,FLINTSTONES_003
RD0538,014aae00,1a,FLINTSTONES_004
RD0539,014b8000,12,FLINTSTONES_005
RD0540,014c1200,08,FLINTSTONES_006
RD0541,014c5400,17,FLINTSTONES_007
RD0542,014d0e00,01,FLINTSTONES_008
RD0543,014d1800,03,FLINTSTONES_009
RD0544,014d3200,02,FLINTSTONES_010
RD0545,014d4400,0b,FLINTSTONES_011
RD0546,014d9e00,02,FLINTSTONES_012
RD0547,014db000,04,FLINTSTONES_013
